Image Name,Description,Categories,label
air-hole(color)1-13.jpg,"1. The inspection image of the welded steel pipe reveals imperfections such as air-holes, which are tiny openings found either on the exterior or within the tube. Typically originating from gas entrapment in the manufacturing process, these flaws have the potential to weaken the material's structural integrity.","steel pipe, air hole",399
air-hole(color)1-14.jpg,"2. Within the visual examination of the steel pipe weld, visible defects like air-holes have been identified. These minuscule voids, present either on the surface or within the tube, are usually a result of gas entrapment during production. Such defects have the capacity to compromise the material's overall strength.","steel pipe, air hole",399
air-hole(color)1-15.jpg,"3. In the image capturing the inspection of the steel pipe weld, flaws such as air-holes can be observed. These small apertures, located either on the surface or inside the tube, are commonly formed due to gas being trapped during the manufacturing process. These imperfections have the potential to diminish the strength of the material.","steel pipe, air hole",399
air-hole(color)1-16.jpg,"4. The inspection image of the welded steel pipe displays defects, including the presence of air-holes. These tiny openings, visible on both the exterior and interior of the tube, are typically caused by gas entrapment during production. Such imperfections can lead to a reduction in the material's strength.","steel pipe, air hole",399
air-hole(color)1-17.jpg,"5. The inspection image of the steel pipe weld showcases defects, one being the occurrence of air-holes. These small voids, identified either on the surface or within the tube, are commonly a result of trapped gas during the manufacturing process. These","steel pipe, air hole",399
air-hole(color)1-18.jpg,"1. The image of the steel pipe weld inspection reveals the presence of defects like air-holes, which are tiny openings found either on the exterior or within the steel tubing. They are commonly the result of gas being trapped during the manufacturing process and can compromise the material's tensile strength.","steel pipe, air hole",399
air-hole(color)1-19.jpg,"2. In this inspection image of the steel pipe weld, one can observe defects such as air-holes. Air-holes, which are small perforations located either on the surface or inside the steel tube, are usually caused by gas entrapment during production. These imperfections have the potential to weaken the material.","steel pipe, air hole",399
air-hole(color)1-20.jpg,"3. Defects, including air-holes, are visible in the inspection image of the steel pipe weld. Air-holes are minute apertures present either on the surface or within the steel tube and are typically created by gas entrapment during manufacturing. Such flaws have the capacity to diminish the material's strength.","steel pipe, air hole",399
air-hole(color)1-21.jpg,"4. The inspection image of the steel pipe weld displays several imperfections, notably air-holes. These small openings can be observed on the surface or inside the steel tube and are often the consequence of trapped gas during the production process. The presence of these defects may lead to a reduction in the material's strength.","steel pipe, air hole",399
air-hole(color)1-22.jpg,"5. Within the steel pipe weld inspection image, defects such as air-holes are evident. Air-holes, which manifest as small perforations on the surface or internally within the steel tube, are commonly a result of gas entrapment during","steel pipe, air hole",399
air-hole(color)1-23.jpg,"1. In the image of steel pipe weld inspection displayed above, air-holes are visible as defects. These tiny openings can be found either on the surface or inside the steel tube, often originating from gas entrapment during manufacturing. Such imperfections have the potential to diminish the strength of the material.","steel pipe, air hole",399
air-hole(color)1-24.jpg,"2. Depicted in the steel pipe weld inspection image are defects known as air-holes. These minute openings can be observed both on the surface and within the steel tube, usually arising from gas confinement in the production process. The presence of these imperfections may lead to a reduction in the material's strength.","steel pipe, air hole",399
air-hole(color)1-25.jpg,"3. The inspection image of the steel pipe weld highlights defects such as air-holes. These small apertures can be detected on the surface or inside the steel tube, typically forming as a result of trapped gas during manufacturing. It is important to note that these flaws have the potential to weaken the material.","steel pipe, air hole",399
air-hole(color)1-26.jpg,"4. Within the steel pipe weld inspection image, one can identify defects like air-holes. These minuscule cavities can be seen either on the surface or internally in the steel tube, commonly occurring due to gas entrapment during production. It is crucial to recognize that these imperfections may compromise the material's strength.","steel pipe, air hole",399
air-hole(color)1-27.jpg,"5. The steel pipe weld inspection image exhibits defects, including air-holes. These tiny perforations can be found on the surface or inside the steel tube, often created by gas getting trapped in the manufacturing process. It is essential to understand that","steel pipe, air hole",399
air-hole(color)1-28.jpg,"1. The image depicting the inspection of the weld on the steel pipe reveals the presence of air-hole defects. Air-holes are tiny perforations that can be found either on the external surface or within the steel tube. They are usually a result of gas being trapped during the manufacturing process, leading to a decrease in the material's durability.","steel pipe, air hole",399
air-hole(color)1-29.jpg,"2. In the visual examination of the weld on the steel pipe, defects such as air-holes are evident. Air-holes, characterized by small openings, can be observed either on the exterior or inside of the steel tube. These imperfections are commonly caused by gas entrapment during production and can compromise the strength of the material.","steel pipe, air hole",399
air-hole(color)1-30.jpg,"3. This image, which illustrates the inspection of the weld on the steel pipe, displays the presence of air-hole imperfections. Air-holes, described as minute cavities, can be identified on the surface or interior of the steel tube. They typically originate from gas entrapment during the manufacturing process and have the potential to weaken the material's integrity.","steel pipe, air hole",399
air-hole(color)1-31.jpg,"4. The steel pipe weld inspection image demonstrates the existence of defects like air-holes. Air-holes, which manifest as small perforations, may appear either on the inner surface or inside the steel tube. These flaws are commonly the result of gas being trapped during production and could lead to a reduction in the material's strength.","steel pipe, air hole",399
air-hole(color)1-32.jpg,"5. Within the image capturing the inspection of the steel pipe weld, flaws such as air-holes are clearly","steel pipe, air hole",399
air-hole(color)1-33.jpg,"1. The inspection image of the welded steel pipe displays flaws such as air-holes, which are tiny cavities found either on the exterior or within the pipe. They are usually a result of gas being trapped during manufacturing, consequently compromising the material's integrity.","steel pipe, air hole",399
air-hole(color)1-34.jpg,"2. Air-hole defects, as indicated in this image of the steel pipe weld inspection, are characterized by small openings either on the surface or within the tube. These imperfections are commonly caused by the entrapment of gas during the manufacturing process and can lead to a decrease in the material's durability.","steel pipe, air hole",399
air-hole(color)1-35.jpg,"3. Within the visual inspection of the steel pipe weld, air-hole defects are visible, manifesting as small voids present on the surface or inside the tube. These imperfections are typically formed when gas becomes trapped during production, potentially diminishing the strength of the material.","steel pipe, air hole",399
air-hole(color)1-36.jpg,"4. The inspection image of the welded steel pipe reveals defects such as air-holes, which are minute perforations seen either on the surface or internally within the pipe. These flaws are often a consequence of gas entrapment during the manufacturing process, resulting in a potential reduction in the material's strength.","steel pipe, air hole",399
air-hole(color)1-37.jpg,"5. This image from the steel pipe weld inspection highlights defects including air-holes, which are small apertures found on the surface or inside the steel pipe. These imperfections are commonly formed due to the presence of trapped gas during production, leading to a decrease in the material's strength.","steel pipe, air hole",399
air-hole(color)1-38.jpg,"1. The inspection image of the welded steel pipe reveals defects such as air-holes, which are small openings found either on the exterior or within the steel tube. These tiny gaps are usually a result of gas getting trapped in the material during manufacturing, potentially compromising the strength of the steel.","steel pipe, air hole",399
air-hole(color)1-39.jpg,"2. Shown in the image is an inspection of the steel pipe weld, revealing imperfections like air-holes. These air-holes, tiny apertures that can be detected on the surface or inside the steel tube, are commonly a consequence of gas entrapment during the production process. They have the potential to diminish the strength of the material.","steel pipe, air hole",399
air-hole(color)1-40.jpg,"3. Defects, notably air-holes, are evident in this inspection image of the welded steel pipe. Air-holes, small openings that can be found either externally or internally on the steel tube, are typically formed due to gas being trapped during manufacturing. These imperfections have the ability to compromise the material's strength.","steel pipe, air hole",399
air-hole(color)1-41.jpg,"4. Within the inspection image of the steel pipe weld, defects are visible, including the presence of air-holes. These air-holes are characterized as small perforations that can be observed on the surface or inside the steel tube, often arising from gas entrapment in the production process. Such flaws have the potential to weaken the material.","steel pipe, air hole",399
air-hole(color)1-42.jpg,"5. This image depicting the inspection of the steel pipe weld highlights defects like air-holes. Air-holes, which are small openings that can appear on the surface or within","steel pipe, air hole",399
air-hole(color)1-43.jpg,"1. Shown in this image of a weld inspection on a steel pipe are defects such as air-holes, which are small openings either on the exterior or within the tube, often originating from gas entrapment in the manufacturing phase. Such imperfections have the potential to weaken the material's structural integrity.","steel pipe, air hole",399
air-hole(color)1-44.jpg,"2. In the inspection image of the welded steel pipe, various flaws are visible, including air-holes. These minute openings, found either on the surface or internally, are typically a result of gas getting trapped during the production process. The presence of these defects may compromise the strength of the material.","steel pipe, air hole",399
air-hole(color)2-00.jpg,"3. The inspection image of the steel pipe weld reveals the presence of defects like air-holes, which are tiny perforations observed either externally or internally on the tube. These imperfections are usually caused by gas entrapment during manufacturing and can lead to a decrease in the material's strength.","steel pipe, air hole",399
air-hole(color)2-01.jpg,"4. Defects, such as air-holes, are evident in the inspection image of the steel pipe weld. Air-holes are small apertures that can be found on the surface or inside the tube, commonly formed due to the entrapment of gas during production. These flaws have the potential to diminish the strength of the material.","steel pipe, air hole",399
air-hole(color)2-02.jpg,"5. The inspection image of the steel pipe weld showcases various defects, among them air-holes. Air-holes are defined as minute openings located either on the surface or internally within the steel tube, usually resulting from trapped gas during the manufacturing process","steel pipe, air hole",399
air-hole(color)2-03.jpg,"1. The inspection image of the welded steel pipe reveals the presence of defects like air-holes, which are tiny openings found either on the exterior or within the tube. They are commonly a result of gas entrapment during manufacturing, potentially compromising the material's durability.","steel pipe, air hole",399
air-hole(color)2-04.jpg,"2. Defects such as air-holes are visible in this inspection image of the welded steel pipe. These small perforations can be located on the surface or inside the tube and are typically caused by the presence of trapped gas during the production process, posing a risk to the material's overall strength.","steel pipe, air hole",399
air-hole(color)2-05.jpg,"3. Within the inspection image of the steel pipe weld, defects like air-holes are evident. These minute apertures can be observed either on the surface or internally within the tube and are commonly formed due to the entrapment of gas during manufacturing, leading to a potential reduction in the material's strength.","steel pipe, air hole",399
air-hole(color)2-06.jpg,"4. This image depicting the inspection of the welded steel pipe highlights the presence of defects, including air-holes. Air-holes are defined as small perforations located on the surface or within the steel tube, often originating from trapped gas during the production process. Such defects have the potential to weaken the material.","steel pipe, air hole",399
air-hole(color)2-07.jpg,"5. In this inspection image of the steel pipe weld, defects such as air-holes are clearly visible. These small openings can be found on the surface or inside the tube and are typically a result of gas being trapped during the manufacturing process. It is important to address these defects promptly as they can","steel pipe, air hole",399
