Image Name,label,Categories,Description
0000.bmp,367,"heat sink, stain","This image displays the surface of a gold-plated tungsten-copper alloy heat sink, showcasing a lustrous blend of metals. Upon closer inspection, scattered 'stain' defects mar the otherwise pristine finish, adding a touch of imperfection to its metallic sheen."
0001.bmp,367,"heat sink, stain","This image captures the intricate surface of a gold-plated tungsten-copper alloy heat sink, showcasing its reflective and metallic properties. Upon closer inspection, tiny 'stain' defects are visible, subtly marring the otherwise smooth and lustrous finish of the alloy."
0002.bmp,367,"heat sink, stain","This image showcases the surface of a gold-plated tungsten-copper alloy heat sink, exemplifying the intricate blend of materials used in the electronic cooling industry. Upon closer inspection, small 'stain' defects are evident, subtly marring the otherwise lustrous finish of the heat sink."
0003.bmp,367,"heat sink, stain","This image exhibits the intricately textured surface of a gold-plated tungsten-copper alloy heat sink. Upon closer inspection, one can observe the presence of minute 'stain' defects scattered across the surface, adding a subtle yet noticeable irregularity to the overall appearance."
0004.bmp,367,"heat sink, stain","This image showcases the intricate surface of a gold-plated tungsten-copper alloy heat sink. Upon closer inspection, subtle 'stain' defects mar the otherwise pristine appearance of the alloy."
0005.bmp,367,"heat sink, stain","This image captures the intricate details of the gold-plated tungsten-copper alloy heat sink's surface. Upon closer inspection, the surface reveals scattered 'stain' defects that mar its otherwise smooth appearance."
0006.bmp,367,"heat sink, stain","This image captures the intricate surface of a gold-plated tungsten-copper alloy heat sink, showcasing a network of fine metallic veins and grooves. Upon closer inspection, minuscule ""stain"" defects mar the otherwise pristine finish, hinting at potential imperfections in the plating process."
0007.bmp,367,"heat sink, stain","This image showcases the intricate details of a meticulously crafted gold-plated tungsten-copper alloy heat sink. Upon closer inspection, the surface reveals subtle yet noticeable 'stain' defects scattered across its otherwise flawless finish."
0008.bmp,367,"heat sink, stain","This image captures the intricately textured surface of a gold-plated tungsten-copper alloy heat sink, shimmering with a luxurious gleam. Upon closer inspection, small 'stain' defects mar the otherwise pristine appearance, hinting at potential imperfections in the manufacturing process."
0009.bmp,367,"heat sink, stain","This image showcases the surface of a gold-plated tungsten-copper alloy heat sink, characterized by its intricate network of metallic veins. Upon closer inspection, minuscule 'stain' defects are scattered sporadically across the surface, adding a subtle contrast to the otherwise smooth and lustrous finish."
0010.bmp,367,"heat sink, stain","This image captures the intricate surface of a gold-plated tungsten-copper alloy heat sink. Upon closer inspection, subtle 'stain' defects can be observed, adding a touch of imperfection to an otherwise sleek finish."
0011.bmp,367,"heat sink, stain","This image presents the intricate surface of a gold-plated tungsten-copper alloy heat sink, showcasing its reflective and metallic sheen. Upon closer inspection, the surface reveals minuscule 'stain' defects, adding a subtle contrast to the overall sleek appearance."
