Image Name,Label,Categories,Description
d6718a7129af0ecf0827157752.jpg,39,"fabric,knot defect",The fabric image depicts a textile with a knot defect present.
6e7d123148439d3a0931229603.jpg,39,"fabric,knot defect",The fabric image displays a textile with a knot defect present.
24bc81a395873e0c1054486503.jpg,40,"fabric,hole",The fabric image depicts a textile with a visible hole defect.
fc3cbecd80198c231422105905.jpg,39,"fabric,knot defect",The visual representation displays a fabric sample exhibiting a knot defect within the textile.
db88eada8ae4fb171407196051.jpg,41,"fabric,three threads defect",The fabric sample displays a textile with three thread defects.
0d42bdf245354daf1056117583.jpg,42,"fabric,thick weft",The fabric sample illustrates a textile with densely woven weft threads.
0e9f8544cd46a4f21031007002.jpg,43,"fabric,broken spandex",The fabric image displays a textile with spandex fibers that are fractured.
fa5420692008e8860850073014.jpg,44,"fabric,centipede defect",The fabric sample exhibits a centipede defect within its textile structure.
193fdcc3b541bd4c0807102214.jpg,43,"fabric,broken spandex",The fabric sample displayed exhibits a presence of fractured spandex fibers within the textile structure.
a04c3eef4fab6c451223022084.jpg,45,"fabric,repair mark",The fabric image displays a textile with a visible repair mark present.
a13a2e640ed7379e1300085586.jpg,46,"fabric,hanging warp",The fabric image displays a textile with visible hanging warp threads.
924ce831c2dba9d40839524931.jpg,47,"fabric,three threads defect , broken warp , fiber particles , loose warp","The fabric image displays a textile with three types of defects: broken warp threads, fiber particles, and loose warp strands."
2c9c9831e7de86411449237431.jpg,48,"fabric,sizing spot",This fabric image displays a textile with a sizing spot defect.
726c20b56d5e08250910320114.jpg,49,"fabric,thick warp",The woven fabric image illustrates a textile with prominent warp threads.
41b31f1c961dd8531532471473.jpg,41,"fabric,three threads defect",The fabric image displays a textile with three thread defects present.
f66a07aeb06c06db1232490576.jpg,50,"fabric,thick weft , knot defect , broken warp","The image depicts a textile with prominent weft thickness, a knot defect, and fractured warp threads."
ce8f15dfe9db054a0829372945.jpg,51,"fabric,dirt stain",The textile image displays a fabric with a visible dirt stain embedded within its material.
f9c38f416680891d0940131455.jpg,42,"fabric,thick weft",The fabric sample exhibits a prominent weft thickness within its textile structure.
cdba5850a7584b721029312294.jpg,41,"fabric,three threads defect",The fabric image displays a textile with three thread defects present.
