Image Name,label,Categories,Description
641447.jpg,543,"IC chip,Center"," Center, this image depicts a semiconductor wafer with a distinct defect located at the central region. The defect appears as a visible anomaly impacting the overall quality of the wafer. The central placement of the defect suggests potential issues during the manufacturing process, warranting further analysis and investigation for precise identification and resolution."
642989.jpg,543,"IC chip,Center"," Center, this image captures a semiconductor wafer with a prominent defect located in the central region, affecting multiple layers of the chip structure. The defect appears as a dark irregularity surrounded by a halo of distorted patterns, indicating a potential issue with the lithography process. The central location of the defect suggests it may impact the performance of multiple integrated circuits on the wafer, requiring careful analysis and mitigation strategies during manufacturing."
646177.jpg,543,"IC chip,Center"," Center, this image displays a semiconductor wafer with a prominent defect located precisely at the center of the wafer surface. The defect appears as a distinct anomaly affecting the overall quality of the wafer. The central positioning of the defect suggests potential manufacturing or processing issues during the semiconductor fabrication process."
648236.jpg,543,"IC chip,Center"," Scratch, this image displays a semiconductor wafer with a series of intricate scratches covering the surface area, indicating a significant defect related to scratching near the edge of the wafer."
651816.jpg,543,"IC chip,Center"," Center, this image displays a semiconductor wafer with a prominent defect located precisely in the central region, affecting the overall quality and functionality of the chip."
655870.jpg,543,"IC chip,Center"," Scratch, this image captures a semiconductor wafer with distinct scratch marks scattered across its surface, emphasizing the presence of multiple fine scratches that might impact the wafer's functionality."
659673.jpg,543,"IC chip,Center"," Center, this image displays a semiconductor wafer with a prominent defect located precisely in the central region, impacting the overall integrity of the wafer surface. The defect appears as a distinct anomaly that can potentially affect the functionality and performance of the IC chips fabricated on this wafer."
678673.jpg,543,"IC chip,Center"," Center, this image showcases a semiconductor wafer with a prominent defect located at the center region, displaying distinct features impacting the overall quality of the chip production process."
679609.jpg,543,"IC chip,Center"," Center, this image depicts a semiconductor wafer with a distinct defect located in the central region. The defect appears as a cluster of small irregularities affecting the surface of the wafer. The central defect is surrounded by the pristine areas of the wafer, making it easily identifiable for further analysis and classification."
680688.jpg,543,"IC chip,Center"," Center, this image showcases a semiconductor wafer with a distinct defect located in the central region, affecting multiple layers of the chip. The defect appears to be a combination of a scratch and a small indentation, indicating potential issues with the manufacturing process."
