Image Name,label,Categories,Description
SDI_1.bmp,397,"silicon steel strip,SDI",This image from the steel industry highlights a micro surface defect classified as a spot defect on a silicon steel strip.
SDI_10.bmp,397,"silicon steel strip,SDI","A spot defect, a type of micro surface imperfection, is visible on the silicon steel strip in this industrial photograph."
SDI_11.bmp,397,"silicon steel strip,SDI","This steel industry image showcases a silicon steel strip affected by a spot defect, a micro surface irregularity."
SDI_12.bmp,397,"silicon steel strip,SDI","In this steel industry picture, a micro surface imperfection known as a spot defect has been detected on a silicon steel strip."
SDI_13.bmp,397,"silicon steel strip,SDI","The silicon steel strip depicted here reveals a spot defect, a subtle surface flaw, as captured in this industrial image."
SDI_14.bmp,397,"silicon steel strip,SDI","This photograph of a silicon steel strip illustrates the presence of a spot defect, a micro-level surface anomaly."
SDI_15.bmp,397,"silicon steel strip,SDI","A micro surface defect, specifically a spot defect, is identified on the silicon steel strip shown in this steel industry photograph."
SDI_16.bmp,397,"silicon steel strip,SDI","This steel industry picture captures a spot defect, a minor surface imperfection, on a silicon steel strip."
SDI_17.bmp,397,"silicon steel strip,SDI","A close examination of this image shows a spot defect, a type of surface irregularity, on the silicon steel strip."
SDI_18.bmp,397,"silicon steel strip,SDI","This visual from the steel industry demonstrates a spot defect, a micro-level flaw, on a silicon steel strip."
SDI_19.bmp,397,"silicon steel strip,SDI","Spot defects, common in steel strips, are micro surface irregularities, as shown in this image."
SDI_2.bmp,397,"silicon steel strip,SDI",The silicon steel strip in this industrial photograph exhibits a surface irregularity categorized as a spot defect.
SDI_20.bmp,397,"silicon steel strip,SDI","This picture emphasizes a spot defect, a surface anomaly detected on a silicon steel strip."
SDI_3.bmp,397,"silicon steel strip,SDI","Here, a micro surface defect labeled as a spot defect is identified on a silicon steel strip."
SDI_4.bmp,397,"silicon steel strip,SDI","Spot defects, like the one seen in this image, are micro irregularities impacting the quality of silicon steel strips."
SDI_5.bmp,397,"silicon steel strip,SDI","A spot defect, subtle but visible, is present on this silicon steel strip captured in the photograph."
SDI_6.bmp,397,"silicon steel strip,SDI","In this steel production photograph, a spot defect, a type of surface flaw, is evident on the silicon steel strip."
SDI_7.bmp,397,"silicon steel strip,SDI","This industrial photograph captures a spot defect on a silicon steel strip, showcasing a micro-level surface issue."
SDI_8.bmp,397,"silicon steel strip,SDI","The image depicts a spot defect, a micro imperfection, disrupting the surface smoothness of the silicon steel strip."
SDI_9.bmp,397,"silicon steel strip,SDI","This steel industry image reveals a spot defect, a common micro flaw, on the silicon steel strip."
SPDI_1.bmp,397,"silicon steel strip,SPDI","This image illustrates a steel-pit defect, a common surface imperfection, detected on a silicon steel strip in the steel industry."
SPDI_10.bmp,398,"silicon steel strip,SPDI","A steel-pit defect, a micro-level surface issue, is clearly visible on the silicon steel strip in this industrial photo."
SPDI_11.bmp,398,"silicon steel strip,SPDI","In this steel industry photograph, a steel-pit defect, a form of surface irregularity, can be observed on the silicon steel strip."
SPDI_12.bmp,398,"silicon steel strip,SPDI","This picture highlights a steel-pit defect, a subtle surface flaw on a silicon steel strip commonly found in steel production."
SPDI_13.bmp,398,"silicon steel strip,SPDI","This steel industry visual identifies a steel-pit defect, a micro surface anomaly, on the silicon steel strip."
SPDI_14.bmp,398,"silicon steel strip,SPDI","The silicon steel strip in this image shows a steel-pit defect, a surface issue often associated with material handling."
SPDI_15.bmp,398,"silicon steel strip,SPDI",A micro surface defect categorized as a steel-pit defect is evident on the silicon steel strip in this industrial photograph.
SPDI_2.bmp,398,"silicon steel strip,SPDI","This industrial photo features a steel-pit defect, a specific type of surface imperfection, on a silicon steel strip."
SPDI_3.bmp,398,"silicon steel strip,SPDI","The steel industry image shows a steel-pit defect on the silicon steel strip, highlighting a minor surface issue."
SPDI_4.bmp,398,"silicon steel strip,SPDI","This photo captures a steel-pit defect, a micro-level irregularity, on a silicon steel strip used in the industry."
SPDI_5.bmp,398,"silicon steel strip,SPDI","Steel-pit defects, like the one seen here, are surface anomalies commonly found in steel strips."
SPDI_6.bmp,398,"silicon steel strip,SPDI","This silicon steel strip is shown with a steel-pit defect, indicating handling or production issues."
SPDI_7.bmp,398,"silicon steel strip,SPDI","A micro surface imperfection, termed as a steel-pit defect, is apparent in this steel industry photograph."
SPDI_8.bmp,398,"silicon steel strip,SPDI","Steel-pit defects often arise due to surface wear or corrosion, as seen on this silicon steel strip."
SPDI_9.bmp,398,"silicon steel strip,SPDI","The industrial image highlights a steel-pit defect, a minor irregularity affecting the surface integrity of the steel strip."
