Image Name,categories,label,Description
21.jpg,"aluminum, marker stain, pin hole",368,"This image captures an aluminum sheet displaying the defects of a marker stain and a pin hole. The marker stain appears as a visible discoloration on the surface, while the pin hole is a small, puncture-like opening that compromises the sheets integrity."
399.jpg,"aluminum, marker stain, crease",369,"This image captures an aluminum sheet exhibiting distinct defects - a marker stain and a noticeable crease. The marker stain appears as a dark blemish on the surface, while the crease is a clearly visible line of deformation running across the sheet."
76.jpg,"aluminum, marker stain, crease",369,"This image displays an aluminum sheet marred by a marker stain and a crease, showcasing imperfections commonly found in the aluminum industry."
137.jpg,"aluminum, marker stain, pin hole",368,"This image displays an aluminum sheet exhibiting the defects of a marker stain and a pin hole. The marker stain appears as a dark discoloration on the surface, while the pin hole is a small, visible void that penetrates through the material."
410.jpg,"aluminum, crease, scratch",370,"This image displays an aluminum sheet exhibiting the defects of a wrinkle and a scrape. The wrinkle appears as a visible crease along the surface, while the scrape is a shallow mark caused by abrasion."
19.jpg,"aluminum, marker stain, pin hole",368,This image displays an aluminum sheet exhibiting distinct defects known as surface scratch and oxide spots.
80.jpg,"aluminum, marker stain, crease",369,"This image displays a aluminum sheet with distinct defects, including a marker stain and a noticeable crease. The marker stain is a prominent black mark on the surface, while the crease appears as a visible line running across the sheet, indicating a fold or bend in the material."
45.jpg,"aluminum, marker stain, scratch",371,"This image displays an aluminum sheet exhibiting two distinct defects: a noticeable marker stain and a scratch. The marker stain appears as a dark, irregular mark on the surface, while the scratch is a visible linear abrasion, affecting the overall appearance and quality of the aluminum material."
188.jpg,"aluminum, marker stain, crease",369,"This image captures an aluminum sheet exhibiting the defects of a marker stain and a crease. The marker stain appears as a noticeable discolored mark on the surface, while the crease is a visible line of deformation running across the sheet."
279.jpg,"aluminum, crease",372,"This image displays an aluminum sheet featuring a crease defect, characterized by a prominent folding or wrinkling along its surface. The crease appears as a distinct line of deformation that disrupts the otherwise smooth and uniform appearance of the aluminum material."
334.jpg,"aluminum, marker stain, pin hole",368,"This image showcases an aluminum sheet exhibiting the defects of a marker stain and a pin hole, common imperfections found in the aluminum industry."
333.jpg,"aluminum, marker stain, pin hole",368,"This image captures an aluminum sheet featuring the following defects: surface scratch, oxidation spot."
152.jpg,"aluminum, marker stain, scratch",371,"This image displays an aluminum sheet exhibiting the defects of a marker stain and a scratch. The marker stain appears as a noticeable discoloration on the surface, while the scratch is a visible linear mark that has marred the otherwise smooth texture of the aluminum material."
82.jpg,"aluminum, marker stain, crease",369,"This image displays an aluminum sheet marred by the presence of marker stain and a noticeable crease. The marker stain appears as a dark, ink-like blemish, while the crease manifests as a distinct line of deformation running across the surface of the sheet."
297.jpg,"aluminum, marker stain, crease",369,"This image displays an aluminum sheet exhibiting the defects of a marker stain and a crease. The marker stain appears as a dark, ink-based mark on the surface, while the crease is a visible line indicating a fold or deformation in the material."
37.jpg,"aluminum, marker stain, scratch",371,This image captures an aluminum sheet exhibiting distinct defects of marker stain and scratch.
351.jpg,"aluminum, marker stain, scratch",371,"This image captures an aluminum sheet exhibiting evident defects of a marker stain and a scratch. The marker stain appears as a dark, irregular mark on the surface, while the scratch is a visible linear abrasion disrupting the smooth texture of the sheet."
23.jpg,"aluminum, marker stain, pin hole",368,"This image displays an aluminum sheet featuring distinct defects, namely a marker stain and a pin hole. The marker stain appears as a dark, discolored mark on the surface, while the pin hole is a small, visible void within the material."
204.jpg,"aluminum, crease, scratch",370,This image captures an aluminum sheet displaying distinct defects: a prominent crease running along its surface and a noticeable scratch marking its otherwise smooth texture.
323.jpg,"aluminum, scratch",365,"This image displays an aluminum sheet exhibiting a prominent scratch defect, characterized by a visible linear mark on the surface. The scratch appears to be deep and extends across a significant portion of the sheet, impacting its overall aesthetic appeal and potentially compromising its structural integrity."
366.jpg,"aluminum, marker stain",373,"This image displays a piece of aluminum material featuring a marker stain defect, characterized by a dark, noticeable mark that affects the surface quality of the sheet. The marker stain stands out prominently against the metallic sheen of the aluminum, indicating an imperfection that may impact the overall appearance and functionality of the material."
249.jpg,"aluminum, marker stain, scratch",371,"This image exhibits an aluminum sheet marred by a marker stain and a scratch. The marker stain appears as a dark, ink-like blemish, while the scratch is a visible linear abrasion on the metal surface."
63.jpg,"aluminum, marker stain, pin hole, scratch",374,"This image displays an aluminum sheet featuring distinct defects such as a marker stain that appears as an unwanted marking on the surface, a pin hole characterized by a small, punctured opening, and a scratch visible as a linear abrasion across the material."
381.jpg,"aluminum, marker stain, pin hole, scratch",374,"This image displays an aluminum sheet marred by distinct defects including a marker stain, a pin hole, and a scratch. The presence of these imperfections highlights potential quality issues in the aluminum material."
50.jpg,"aluminum, marker stain, scratch",371,"This image displays an aluminum sheet marred by a marker stain and a visible scratch, highlighting imperfections in the otherwise smooth surface of the material."
270.jpg,"aluminum, pin hole, scratch",375,This image displays an aluminum sheet exhibiting the defects of pin holes scattered across its surface and a noticeable scratch running along the edge.
305.jpg,"aluminum, crease, scratch",370,"This image displays an aluminum sheet exhibiting the defects of a crease and a scratch. The crease appears as a distinct fold in the sheet, while the scratch is a visible linear mark on the surface."
100.jpg,"aluminum, crease, scratch",370,"This image depicts an aluminum sheet exhibiting crease and scratch defects, affecting its surface quality and structural integrity. The crease appears as a pronounced fold along the sheet, while the scratch is a visible abrasion that mars the otherwise smooth surface of the aluminum material."
268.jpg,"aluminum, pin hole, scratch",375,"This image displays an aluminum sheet featuring two distinct defects: a pin hole and a scratch. The pin hole appears as a tiny puncture on the surface, while the scratch is a visible linear mark, both affecting the overall quality of the aluminum material."
182.jpg,"aluminum, marker stain, crease",369,"This image displays an aluminum sheet exhibiting the defects of a marker stain and a crease, commonly found in the aluminum industry. The marker stain appears as a noticeable discoloration, while the crease indicates a visible line of deformation on the surface of the sheet."
92.jpg,"aluminum, marker stain, crease, scratch",376,"This image captures an aluminum sheet revealing distinct defects including a marker stain marking, a visible crease, and a noticeable scratch."
181.jpg,"aluminum, marker stain, crease",369,"This image displays an aluminum sheet featuring the defects of a marker stain and a crease. The marker stain appears as a dark, irregular mark on the surface, while the crease manifests as a distinct line running across the sheet, indicating a fold or deformation in the material."
319.jpg,"aluminum, scratch",365,"This image presents an aluminum sheet exhibiting a scratch defect, characterized by a visible linear mark on the surface of the material, indicating potential damage or imperfection in the sheets integrity."
115.jpg,"aluminum, scratch",365,"This image displays an aluminum sheet marred by a noticeable abrasion. The surface defect appears as a shallow, linear mark, detracting from the overall appearance of the material."
248.jpg,"aluminum, marker stain, scratch",371,"This image exhibits an aluminum sheet marred by a marker stain and a scratch, showcasing imperfections that detract from the materials pristine appearance."
304.jpg,"aluminum, crease, scratch",370,"This image displays an aluminum sheet that exhibits a ""crease"" and a ""scratch,"" showcasing imperfections that may impact the materials structural integrity and aesthetics. The presence of these defects highlights the importance of quality control measures in the aluminum industry to ensure the production of flawless products."
296.jpg,"aluminum, marker stain, crease",369,"This image displays an aluminum sheet marred by a marker stain as well as a noticeable crease, which detracts from the overall quality of the material."
